id,lat,lng
1055609571388112897,40.662769,-73.931549
1055609570670841856,40.663598,-73.934443
1055609048471613440,40.87649,-73.90457
1055608812898578432,40.819198,-73.930603
1055608557431873538,40.567541,-74.325764
1055608556781817856,40.739398,-73.945304
1055608556102303744,40.708593,-74.245095
1055608473944240128,40.83253,-73.93173
1055608317396049920,40.668756,-73.931207
1055608316779474944,40.871118,-74.1897
1055608315970052096,40.882497,-74.21014
1055608059123380225,40.701301,-73.961097
1055608058423005184,40.729694,-74.538875
1055606792561049602,40.735591,-74.027783
1055605801392447489,40.2523,-74.705583
1055605800679432193,40.2523,-74.705583
1055605565001527296,40.688171,-74.101127
1055605563764207618,40.786552,-73.929319
1055605343634513927,40.06436,-75.32175
1055605340153229312,40.87078,-74.0577
1055605282552926211,40.075533,-74.042318
1055605281932099584,40.075533,-74.042318
1055605281290379264,40.075533,-74.042318
1055605064751046656,40.649391,-74.012968
1055605063941533696,40.649391,-74.012968
1055605062599368704,40.644949,-74.017274
1055605061865406465,40.644949,-74.017274
1055605061202649094,40.644949,-74.017274
1055605060439339009,40.644949,-74.017274
1055605059797553153,40.644949,-74.017274
1055605059101343745,40.644949,-74.017274
1055605058426028033,40.644949,-74.017274
1055605057700458496,40.644949,-74.017274
1055605055003545600,40.644949,-74.017274
1055605054366015490,40.644949,-74.017274
1055605053644521472,40.644949,-74.017274
1055605052994449408,40.644949,-74.017274
1055605052294029312,40.644949,-74.017274
1055605051585126400,40.644949,-74.017274
1055605050947579910,40.644949,-74.017274
1055605050175832066,40.644949,-74.017274
1055605049441828864,40.644949,-74.017274
1055605048657489920,40.644949,-74.017274
1055605047738941441,40.644949,-74.017274
1055605046308675584,40.665922,-73.995915
1055605045553754112,40.649391,-74.012968
1055605044849139713,40.644949,-74.017274
1055605044161200129,40.644949,-74.017274
1055605042751909890,40.644949,-74.017274
1055604275869556737,40.730775,-74.222453
1055604220811010048,40.38138,-74.32603
1055604215391895555,39.98672,-75.20789
1055604042049769478,40.739627,-74.369338
1055604040837533697,40.855328,-74.178171
1055604039294042112,40.381043,-74.325215
1055604037565984769,40.758289,-74.052892
1055603778030837761,40.894015,-74.013932
1055603777359753223,40.780127,-74.05638
1055603776625750016,40.900856,-74.028343
1055603775971430400,40.775833,-74.044768
1055603775329746945,40.804863,-74.073809
1055603280821317632,40.885265,-74.067171
